"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2020","0.0492","0.0457","0.0498","0.0455","394.76M","7.63%"
"03/01/2020","0.0457","0.0471","0.0483","0.0451","423.08M","-3.02%"
"02/29/2020","0.0471","0.0489","0.0499","0.0471","373.80M","-3.64%"
"02/28/2020","0.0489","0.0498","0.0513","0.0466","559.79M","-1.80%"
"02/27/2020","0.0498","0.0492","0.0521","0.0463","659.39M","1.30%"
"02/26/2020","0.0492","0.0561","0.0566","0.0467","974.72M","-12.48%"
"02/25/2020","0.0562","0.0590","0.0591","0.0561","425.45M","-4.87%"
"02/24/2020","0.0590","0.0616","0.0618","0.0574","448.74M","-4.17%"
"02/23/2020","0.0616","0.0582","0.0620","0.0581","362.45M","5.86%"
"02/22/2020","0.0582","0.0586","0.0591","0.0570","282.13M","-0.61%"
"02/21/2020","0.0586","0.0582","0.0600","0.0575","409.79M","0.66%"
"02/20/2020","0.0582","0.0574","0.0589","0.0553","598.58M","1.32%"
"02/19/2020","0.0574","0.0627","0.0630","0.0569","555.03M","-8.46%"
"02/18/2020","0.0627","0.0602","0.0637","0.0578","720.24M","4.28%"
"02/17/2020","0.0602","0.0619","0.0626","0.0558","814.81M","-2.76%"
"02/16/2020","0.0619","0.0643","0.0671","0.0569","840.38M","-3.72%"
"02/15/2020","0.0643","0.0707","0.0713","0.0625","723.11M","-9.18%"
"02/14/2020","0.0707","0.0687","0.0712","0.0672","639.24M","2.97%"
"02/13/2020","0.0687","0.0682","0.0722","0.0656","967.17M","0.72%"
"02/12/2020","0.0682","0.0634","0.0703","0.0634","790.92M","7.61%"
"02/11/2020","0.0634","0.0603","0.0635","0.0589","447.70M","5.16%"
"02/10/2020","0.0603","0.0619","0.0621","0.0584","493.35M","-2.57%"
"02/09/2020","0.0619","0.0600","0.0624","0.0600","430.07M","3.03%"
"02/08/2020","0.0600","0.0599","0.0613","0.0571","462.30M","0.28%"
"02/07/2020","0.0599","0.0601","0.0627","0.0595","544.76M","-0.34%"
"02/06/2020","0.0601","0.0593","0.0608","0.0581","647.46M","1.30%"
"02/05/2020","0.0593","0.0560","0.0601","0.0556","610.71M","5.98%"
"02/04/2020","0.0560","0.0570","0.0578","0.0560","533.30M","-1.84%"
"02/03/2020","0.0570","0.0557","0.0578","0.0553","576.94M","2.28%"
"02/02/2020","0.0557","0.0561","0.0586","0.0550","930.72M","-0.57%"
"02/01/2020","0.0561","0.0539","0.0572","0.0532","541.11M","4.11%"
"01/31/2020","0.0539","0.0561","0.0567","0.0522","836.73M","-4.10%"
"01/30/2020","0.0562","0.0534","0.0572","0.0523","854.49M","5.21%"
"01/29/2020","0.0534","0.0529","0.0576","0.0526","1.12B","0.74%"
"01/28/2020","0.0530","0.0479","0.0546","0.0475","1.32B","10.69%"
"01/27/2020","0.0479","0.0447","0.0490","0.0441","545.47M","7.18%"
"01/26/2020","0.0447","0.0431","0.0447","0.0429","292.98M","3.52%"
"01/25/2020","0.0431","0.0450","0.0452","0.0429","260.97M","-4.03%"
"01/24/2020","0.0450","0.0432","0.0453","0.0414","412.83M","4.06%"
"01/23/2020","0.0432","0.0457","0.0459","0.0421","379.51M","-5.58%"
"01/22/2020","0.0457","0.0461","0.0465","0.0453","328.19M","-0.67%"
"01/21/2020","0.0461","0.0438","0.0468","0.0435","512.34M","5.09%"
"01/20/2020","0.0438","0.0420","0.0443","0.0420","355.52M","4.35%"
"01/19/2020","0.0420","0.0449","0.0460","0.0413","492.60M","-6.44%"
"01/18/2020","0.0449","0.0450","0.0458","0.0432","514.30M","-0.18%"
"01/17/2020","0.0450","0.0416","0.0459","0.0412","661.37M","8.02%"
"01/16/2020","0.0416","0.0428","0.0433","0.0402","429.25M","-2.64%"
"01/15/2020","0.0428","0.0417","0.0432","0.0401","771.22M","2.60%"
"01/14/2020","0.0417","0.0368","0.0427","0.0368","889.67M","13.15%"
"01/13/2020","0.0368","0.0379","0.0379","0.0367","177.96M","-2.71%"
"01/12/2020","0.0379","0.0367","0.0379","0.0366","209.27M","3.08%"
"01/11/2020","0.0367","0.0369","0.0378","0.0365","255.79M","-0.52%"
"01/10/2020","0.0369","0.0362","0.0371","0.0347","341.99M","2.12%"
"01/09/2020","0.0362","0.0363","0.0363","0.0355","285.35M","-0.44%"
"01/08/2020","0.0363","0.0370","0.0387","0.0358","563.23M","-1.96%"
"01/07/2020","0.0370","0.0373","0.0380","0.0364","544.89M","-0.73%"
"01/06/2020","0.0373","0.0346","0.0373","0.0344","343.25M","7.79%"
"01/05/2020","0.0346","0.0344","0.0353","0.0342","216.71M","0.73%"
"01/04/2020","0.0344","0.0341","0.0345","0.0337","358.20M","0.79%"
"01/03/2020","0.0341","0.0327","0.0344","0.0324","341.59M","4.32%"
"01/02/2020","0.0327","0.0335","0.0335","0.0323","216.63M","-2.33%"
"01/01/2020","0.0335","0.0328","0.0338","0.0327","250.86M","1.94%"
"12/31/2019","0.0328","0.0334","0.0338","0.0328","283.85M","-1.75%"
"12/30/2019","0.0334","0.0341","0.0344","0.0331","226.84M","-2.13%"
"12/29/2019","0.0341","0.0337","0.0346","0.0333","262.25M","1.41%"
"12/28/2019","0.0337","0.0329","0.0342","0.0328","258.97M","2.33%"
"12/27/2019","0.0329","0.0342","0.0344","0.0316","510.62M","-3.68%"
"12/26/2019","0.0342","0.0334","0.0349","0.0333","328.87M","2.32%"
"12/25/2019","0.0334","0.0339","0.0340","0.0329","229.21M","-1.48%"
"12/24/2019","0.0339","0.0331","0.0345","0.0328","341.10M","2.28%"
"12/23/2019","0.0331","0.0344","0.0345","0.0329","396.35M","-3.66%"
"12/22/2019","0.0344","0.0330","0.0345","0.0330","218.15M","4.04%"
"12/21/2019","0.0330","0.0339","0.0339","0.0328","169.62M","-2.44%"
"12/20/2019","0.0339","0.0330","0.0339","0.0326","257.04M","2.57%"
"12/19/2019","0.0330","0.0343","0.0347","0.0329","400.61M","-3.83%"
"12/18/2019","0.0343","0.0317","0.0346","0.0304","549.02M","8.48%"
"12/17/2019","0.0317","0.0341","0.0341","0.0312","500.28M","-7.19%"
"12/16/2019","0.0341","0.0365","0.0365","0.0333","312.31M","-6.51%"
"12/15/2019","0.0365","0.0362","0.0366","0.0358","188.09M","0.66%"
"12/14/2019","0.0362","0.0372","0.0373","0.0358","312.63M","-2.54%"
"12/13/2019","0.0372","0.0365","0.0374","0.0364","287.93M","1.82%"
"12/12/2019","0.0365","0.0366","0.0369","0.0360","402.50M","-0.29%"
"12/11/2019","0.0366","0.0363","0.0371","0.0361","566.25M","0.79%"
"12/10/2019","0.0363","0.0372","0.0374","0.0361","290.58M","-2.37%"
"12/09/2019","0.0372","0.0387","0.0388","0.0370","255.14M","-3.91%"
"12/08/2019","0.0387","0.0384","0.0389","0.0380","166.10M","0.77%"
"12/07/2019","0.0384","0.0383","0.0391","0.0380","212.59M","0.49%"
"12/06/2019","0.0383","0.0376","0.0383","0.0372","212.55M","1.79%"
"12/05/2019","0.0376","0.0371","0.0381","0.0368","268.21M","1.33%"
"12/04/2019","0.0371","0.0377","0.0386","0.0362","390.48M","-1.72%"
"12/03/2019","0.0377","0.0380","0.0387","0.0374","230.95M","-0.61%"
"12/02/2019","0.0380","0.0395","0.0396","0.0374","287.19M","-3.98%"
"12/01/2019","0.0395","0.0404","0.0404","0.0382","363.35M","-2.01%"
"11/30/2019","0.0404","0.0413","0.0421","0.0398","411.33M","-2.22%"
"11/29/2019","0.0413","0.0390","0.0420","0.0390","619.74M","5.70%"
"11/28/2019","0.0390","0.0390","0.0398","0.0383","342.32M","0.00%"
"11/27/2019","0.0390","0.0367","0.0398","0.0352","435.82M","6.40%"
"11/26/2019","0.0367","0.0359","0.0371","0.0354","353.85M","2.15%"
"11/25/2019","0.0359","0.0350","0.0373","0.0330","643.27M","2.54%"
"11/24/2019","0.0350","0.0379","0.0386","0.0349","451.52M","-7.61%"
"11/23/2019","0.0379","0.0370","0.0383","0.0365","344.92M","2.40%"
"11/22/2019","0.0370","0.0384","0.0386","0.0342","646.32M","-3.55%"
"11/21/2019","0.0384","0.0409","0.0411","0.0373","353.35M","-6.15%"
"11/20/2019","0.0409","0.0422","0.0423","0.0403","361.21M","-3.02%"
"11/19/2019","0.0422","0.0432","0.0434","0.0411","447.03M","-2.35%"
"11/18/2019","0.0432","0.0450","0.0461","0.0429","544.27M","-4.08%"
"11/17/2019","0.0450","0.0439","0.0458","0.0431","324.44M","2.56%"
"11/16/2019","0.0439","0.0439","0.0445","0.0432","300.38M","0.00%"
"11/15/2019","0.0439","0.0428","0.0444","0.0418","346.75M","2.61%"
"11/14/2019","0.0428","0.0433","0.0434","0.0420","199.31M","-1.13%"
"11/13/2019","0.0433","0.0437","0.0439","0.0431","164.09M","-0.93%"
"11/12/2019","0.0437","0.0432","0.0445","0.0430","302.44M","1.18%"
"11/11/2019","0.0432","0.0438","0.0440","0.0423","206.41M","-1.47%"
"11/10/2019","0.0438","0.0424","0.0441","0.0423","251.38M","3.35%"
"11/09/2019","0.0424","0.0422","0.0428","0.0420","134.43M","0.58%"
"11/08/2019","0.0422","0.0434","0.0438","0.0412","291.88M","-2.87%"
"11/07/2019","0.0434","0.0448","0.0449","0.0425","295.29M","-3.07%"
"11/06/2019","0.0448","0.0441","0.0460","0.0436","322.19M","1.48%"
"11/05/2019","0.0441","0.0432","0.0448","0.0430","384.40M","2.26%"
"11/04/2019","0.0432","0.0417","0.0433","0.0414","274.97M","3.50%"
"11/03/2019","0.0417","0.0424","0.0425","0.0413","182.08M","-1.59%"
"11/02/2019","0.0424","0.0421","0.0425","0.0417","257.23M","0.61%"
"11/01/2019","0.0421","0.0413","0.0426","0.0409","342.69M","2.13%"
"10/31/2019","0.0412","0.0417","0.0422","0.0401","455.57M","-1.12%"
"10/30/2019","0.0417","0.0434","0.0444","0.0411","505.89M","-3.86%"
"10/29/2019","0.0434","0.0422","0.0439","0.0421","521.44M","2.83%"
"10/28/2019","0.0422","0.0422","0.0448","0.0419","642.42M","0.00%"
"10/27/2019","0.0422","0.0405","0.0433","0.0395","883.66M","4.20%"
"10/26/2019","0.0405","0.0412","0.0431","0.0394","893.91M","-1.66%"
"10/25/2019","0.0412","0.0373","0.0419","0.0372","536.17M","10.35%"
"10/24/2019","0.0373","0.0363","0.0379","0.0359","260.37M","2.73%"
"10/23/2019","0.0363","0.0386","0.0388","0.0354","316.69M","-5.89%"
"10/22/2019","0.0386","0.0391","0.0400","0.0386","222.17M","-1.36%"
"10/21/2019","0.0391","0.0395","0.0395","0.0385","194.05M","-0.95%"
"10/20/2019","0.0395","0.0390","0.0395","0.0382","179.56M","1.30%"
